Route_ID,Source_City,Destination_City,Distance_km,Departure_Time,Arrival_Time,Duration_min,Day_of_Week,Bus_Type,Operator_Name,Seats_Available,Total_Seats,Ticket_Price_INR,Rating,Reviews_Count
R0015,Lucknow,Mysore,100,23:15,02:08,233,Monday,AC Sleeper,Karnataka Travels,40,42,276.37,4.5,1892
R0016,Mumbai,Mysore,660,11:15,21:25,610,Saturday,Non-AC Seater,SRS Travels,12,42,1205.92,4.0,1186
R0017,Agra,Surat,975,02:15,18:01,1006,Sunday,Non-AC Sleeper,Royal Rajasthan,40,44,1954.34,4.6,329
R0018,Patna,Hyderabad,975,02:15,10:51,516,Friday,Non-AC Sleeper,SRS Travels,26,30,2070.32,3.8,201
R0019,Mysore,Pune,762,07:45,21:31,886,Friday,AC Seater,Deccan Lines,20,42,1744.73,4.6,1536
R0020,Kolkata,Guwahati,109,09:15,00:46,931,Friday,Non-AC Semi-Sleeper,KSRTC,6,42,312.65,4.8,1551
R0021,Bhopal,Shillong,1146,17:00,08:40,940,Friday,Non-AC Semi-Sleeper,Orange Tours,9,30,2371.56,4.5,277
R0022,Indore,Guwahati,548,08:00,22:27,867,Sunday,Non-AC Seater,KSRTC,1,30,989.37,4.7,1320
R0023,Coimbatore,Kolkata,912,15:00,07:53,1013,Thursday,AC Sleeper,GreenLine Travels,35,42,2857.08,3.6,1733
R0024,Chennai,Indore,1097,14:00,06:38,998,Sunday,Non-AC Sleeper,GreenLine Travels,7,48,2185.58,3.8,1708
R0025,Kochi,Nashik,810,04:00,03:50,1430,Saturday,AC Sleeper,GreenLine Travels,26,42,2227.5,4.3,103
R0026,Agra,Surat,1294,14:45,07:28,1063,Friday,Non-AC Semi-Sleeper,GreenLine Travels,17,40,3638.88,3.8,200
R0027,Vijayawada,Patna,933,18:00,07:58,838,Saturday,AC Seater,Deccan Lines,28,42,2331.88,4.7,1811
R0028,Bhopal,Coimbatore,466,06:45,12:42,417,Tuesday,AC Semi-Sleeper,KSRTC,3,30,1476.42,4.9,1003
R0029,Varanasi,Coimbatore,244,15:15,02:13,718,Wednesday,AC Seater,GreenLine Travels,0,36,696.6,3.8,1221
R0030,Ahmedabad,Chennai,1054,03:45,17:32,887,Monday,Non-AC Sleeper,KSRTC,24,36,2155.34,3.6,1349
R0031,Pune,Jaipur,414,15:45,06:52,907,Saturday,AC Sleeper,Royal Rajasthan,33,36,1230.93,3.9,524
R0032,Trivandrum,Bhopal,1470,22:15,11:15,780,Wednesday,AC Semi-Sleeper,KSRTC,7,40,3746.79,4.8,495
R0033,Coimbatore,Rajkot,737,05:45,18:28,823,Monday,Non-AC Semi-Sleeper,GreenLine Travels,10,30,1846.66,4.5,40
R0034,Nashik,Bangalore,1313,18:30,23:48,318,Thursday,AC Seater,VRL Logistics,7,40,3532.5,3.8,1402
R0035,Kolkata,Ahmedabad,111,22:45,09:48,663,Tuesday,AC Sleeper,Orange Tours,33,44,304.01,3.8,1708
R0036,Vijayawada,Delhi,1333,10:45,13:41,236,Friday,AC Semi-Sleeper,Deccan Lines,37,42,2613.59,4.8,459
R0037,Coimbatore,Rajkot,1028,06:15,05:45,1410,Sunday,Non-AC Semi-Sleeper,Royal Rajasthan,7,42,3206.83,5.0,359
R0038,Agra,Kochi,429,02:00,06:25,265,Wednesday,AC Seater,TNSTC,1,42,867.16,4.4,166
R0039,Visakhapatnam,Coimbatore,552,11:00,07:24,1224,Friday,AC Semi-Sleeper,SRS Travels,24,40,1380.34,4.2,1969
R0040,Visakhapatnam,Jaipur,1213,07:30,11:40,250,Saturday,Non-AC Seater,VRL Logistics,10,30,3139.56,4.2,334
R0041,Coimbatore,Chennai,670,03:15,21:51,1116,Monday,AC Sleeper,KSRTC,21,42,1490.73,4.6,293
R0042,Bangalore,Hyderabad,245,11:30,04:11,1061,Saturday,AC Semi-Sleeper,Deccan Lines,20,40,840.75,4.4,382
R0043,Kochi,Guwahati,1068,18:00,21:18,198,Tuesday,AC Semi-Sleeper,National Express,2,44,2439.5,4.3,1392
R0044,Coimbatore,Bangalore,1171,22:30,11:59,809,Monday,AC Seater,KSRTC,23,48,2142.71,4.8,575
R0045,Mysore,Guwahati,393,01:15,07:19,364,Thursday,Non-AC Seater,Karnataka Travels,9,30,1102.8,3.8,920
R0046,Hyderabad,Nashik,447,00:45,17:52,1027,Thursday,AC Sleeper,GreenLine Travels,10,36,1362.92,4.8,902
R0047,Vijayawada,Visakhapatnam,679,23:00,09:30,630,Saturday,Non-AC Seater,Orange Tours,48,48,2302.64,4.5,1599
R0048,Jaipur,Delhi,539,11:45,05:18,1113,Tuesday,Non-AC Sleeper,National Express,4,48,1236.47,3.7,482
R0049,Madurai,Kolkata,1266,17:30,21:12,282,Thursday,AC Seater,Orange Tours,13,36,4065.87,4.1,105
R0050,Mysore,Bhopal,1184,20:00,04:14,494,Sunday,Non-AC Sleeper,VRL Logistics,30,30,3543.33,3.5,853
R0051,Mumbai,Visakhapatnam,629,18:00,09:29,929,Wednesday,Non-AC Semi-Sleeper,Deccan Lines,3,36,1572.57,3.9,1956
R0052,Hyderabad,Shillong,511,15:45,00:44,599,Thursday,Non-AC Sleeper,Royal Rajasthan,7,40,1600.53,4.7,1949
R0053,Rajkot,Surat,383,09:00,02:14,1034,Monday,Non-AC Seater,GreenLine Travels,21,48,812.7,4.2,597
R0054,Rajkot,Madurai,1306,20:00,00:29,269,Tuesday,Non-AC Semi-Sleeper,Orange Tours,33,48,4422.43,3.7,1748
R0055,Patna,Madurai,158,09:00,13:59,299,Friday,Non-AC Seater,KSRTC,3,44,528.82,4.5,1922
R0056,Jaipur,Pune,647,16:30,21:57,327,Friday,AC Sleeper,KSRTC,16,48,1593.8,4.6,1217
R0057,Chandigarh,Nashik,496,16:00,09:10,1030,Saturday,Non-AC Seater,Karnataka Travels,29,36,1464.12,4.2,136
R0058,Varanasi,Guwahati,160,18:30,02:51,501,Tuesday,AC Semi-Sleeper,VRL Logistics,3,42,293.21,3.9,1447
R0059,Varanasi,Mumbai,527,02:30,00:10,1360,Thursday,Non-AC Sleeper,KSRTC,18,36,1148.64,4.6,1421
R0060,Hyderabad,Jaipur,876,06:30,12:58,388,Thursday,Non-AC Semi-Sleeper,KSRTC,1,30,1725.25,4.4,333
R0061,Goa,Nashik,741,00:00,03:39,219,Tuesday,Non-AC Sleeper,National Express,34,42,2017.41,4.2,1036
R0062,Surat,Goa,114,19:15,11:12,1017,Saturday,AC Semi-Sleeper,SRS Travels,16,36,286.45,4.5,571
R0063,Nagpur,Chennai,490,10:45,23:04,799,Sunday,AC Semi-Sleeper,VRL Logistics,21,40,1635.51,3.8,42
R0064,Goa,Bangalore,544,02:30,16:44,854,Monday,AC Semi-Sleeper,GreenLine Travels,13,48,1294.28,4.5,798
R0065,Vijayawada,Varanasi,1405,22:15,07:26,551,Saturday,AC Seater,SRS Travels,11,42,4010.38,4.3,1583
R0066,Vijayawada,Indore,1414,12:45,05:28,1063,Wednesday,AC Semi-Sleeper,VRL Logistics,17,40,4689.64,4.4,1957
R0067,Chennai,Lucknow,673,11:45,10:56,1391,Tuesday,AC Sleeper,SRS Travels,44,44,1288.0,4.1,1648
R0068,Bangalore,Madurai,410,13:45,00:25,700,Saturday,AC Semi-Sleeper,GreenLine Travels,37,44,787.31,4.3,1664
R0069,Vijayawada,Mysore,1047,03:45,21:27,1122,Thursday,AC Sleeper,TNSTC,3,40,2330.33,4.4,1212
R0070,Goa,Patna,871,16:45,21:52,307,Monday,AC Seater,VRL Logistics,14,36,2106.98,3.7,286
R0071,Nagpur,Indore,711,13:00,08:43,1183,Saturday,Non-AC Sleeper,Karnataka Travels,10,36,2256.17,4.0,1991
R0072,Vijayawada,Hyderabad,1272,12:00,08:43,1243,Tuesday,Non-AC Seater,KSRTC,5,36,3230.97,4.9,862
R0073,Kochi,Vijayawada,1092,03:45,15:43,778,Friday,AC Semi-Sleeper,Karnataka Travels,35,36,2959.14,4.1,1347
R0074,Visakhapatnam,Nashik,881,07:00,22:19,919,Tuesday,Non-AC Sleeper,SRS Travels,28,40,2385.87,4.7,1622
R0075,Surat,Patna,923,11:30,20:27,597,Sunday,Non-AC Semi-Sleeper,National Express,28,40,3210.65,4.9,419
R0076,Surat,Agra,1008,11:15,00:15,780,Saturday,AC Semi-Sleeper,Orange Tours,0,30,2300.06,3.9,412
R0077,Guwahati,Shillong,263,22:00,06:59,539,Saturday,AC Sleeper,TNSTC,11,40,675.63,4.0,1917
R0078,Bangalore,Rajkot,1177,05:15,22:37,1042,Wednesday,AC Seater,Royal Rajasthan,43,44,3283.49,4.8,903
R0079,Bhopal,Visakhapatnam,1077,10:15,16:45,390,Saturday,Non-AC Sleeper,Orange Tours,26,44,2891.05,4.9,1416
R0080,Patna,Kolkata,788,13:15,18:35,320,Wednesday,Non-AC Semi-Sleeper,KSRTC,1,44,1473.18,4.6,88
R0081,Surat,Pune,129,13:00,06:40,1060,Thursday,AC Seater,Royal Rajasthan,13,44,293.6,3.9,1951
R0082,Vijayawada,Mysore,838,19:00,04:36,576,Saturday,Non-AC Seater,VRL Logistics,15,36,1510.43,3.5,1860
R0083,Madurai,Kochi,1318,12:00,04:07,967,Monday,AC Semi-Sleeper,National Express,11,30,2671.19,4.3,1721
R0084,Guwahati,Nagpur,223,19:30,16:57,1287,Friday,AC Seater,Deccan Lines,13,30,669.85,4.8,1708
R0085,Pune,Rajkot,179,09:45,01:16,991,Tuesday,Non-AC Sleeper,SRS Travels,13,30,389.63,3.8,1915
R0086,Goa,Nagpur,932,02:30,17:03,933,Wednesday,Non-AC Seater,National Express,9,36,3115.26,4.7,386
R0087,Pune,Vijayawada,315,11:15,04:39,1044,Sunday,Non-AC Semi-Sleeper,Royal Rajasthan,12,30,597.43,3.8,1618
R0088,Chandigarh,Nashik,997,12:45,14:51,126,Monday,AC Seater,National Express,20,30,2856.91,4.5,239
R0089,Pune,Patna,212,05:00,07:06,126,Saturday,Non-AC Seater,National Express,16,30,698.21,4.0,1629
R0090,Agra,Jaipur,1020,21:45,19:49,1324,Tuesday,AC Semi-Sleeper,GreenLine Travels,12,30,2454.96,4.2,1488
R0091,Surat,Nashik,963,14:00,18:36,276,Wednesday,AC Semi-Sleeper,TNSTC,14,44,3023.7,3.6,760
R0092,Lucknow,Trivandrum,1302,06:15,12:31,376,Saturday,AC Semi-Sleeper,Deccan Lines,38,42,3498.28,4.1,910
R0093,Lucknow,Bangalore,1296,05:45,17:50,725,Monday,Non-AC Semi-Sleeper,Karnataka Travels,33,36,4039.1,3.5,1162
R0094,Indore,Kolkata,265,08:30,05:30,1260,Saturday,Non-AC Sleeper,GreenLine Travels,30,36,703.83,3.7,713
R0095,Indore,Lucknow,495,15:45,09:10,1105,Monday,Non-AC Sleeper,KSRTC,13,40,1723.87,4.6,630
R0096,Rajkot,Mysore,330,02:00,05:52,232,Thursday,Non-AC Semi-Sleeper,VRL Logistics,17,36,1131.39,3.5,1637
R0097,Hyderabad,Lucknow,1183,18:45,15:18,1293,Thursday,AC Semi-Sleeper,TNSTC,2,44,3576.55,3.9,546
R0098,Guwahati,Coimbatore,887,15:00,05:04,844,Thursday,AC Semi-Sleeper,SRS Travels,8,48,2478.8,3.9,187
R0099,Mumbai,Bhopal,832,06:00,01:41,1181,Wednesday,AC Seater,Orange Tours,21,48,2437.46,3.8,1980
R0100,Delhi,Trivandrum,359,19:45,12:40,1075,Sunday,AC Seater,Royal Rajasthan,6,48,835.38,3.9,1603
R0101,Pune,Hyderabad,756,00:45,19:49,1144,Thursday,Non-AC Seater,KSRTC,5,40,2425.87,5.0,335
R0102,Vijayawada,Coimbatore,882,22:15,02:22,247,Friday,AC Semi-Sleeper,SRS Travels,6,44,3076.34,4.9,644
R0103,Indore,Mysore,855,16:45,07:23,938,Thursday,AC Seater,VRL Logistics,1,44,2609.47,4.1,1267
R0104,Ahmedabad,Goa,540,15:45,05:15,870,Tuesday,AC Semi-Sleeper,Orange Tours,14,44,1753.61,3.9,345
R0105,Varanasi,Bangalore,1170,02:15,18:32,977,Sunday,AC Seater,VRL Logistics,19,42,3302.37,4.4,1260
R0106,Surat,Visakhapatnam,1027,20:30,08:16,766,Saturday,Non-AC Semi-Sleeper,KSRTC,1,44,2553.23,3.6,1494
R0107,Chennai,Surat,359,03:45,09:18,393,Saturday,Non-AC Seater,KSRTC,11,42,995.61,4.5,1011
R0108,Kolkata,Goa,1494,23:45,10:08,683,Wednesday,Non-AC Seater,KSRTC,21,36,4258.56,5.0,273
R0109,Hyderabad,Jaipur,739,02:45,04:31,166,Thursday,AC Sleeper,National Express,46,48,2115.44,4.8,861
R0110,Trivandrum,Visakhapatnam,276,17:45,19:25,160,Tuesday,Non-AC Sleeper,GreenLine Travels,11,36,954.27,3.7,713
R0111,Pune,Varanasi,128,16:30,13:01,1291,Monday,AC Sleeper,National Express,22,48,382.65,4.2,1818
R0112,Nashik,Guwahati,783,09:00,19:48,648,Monday,Non-AC Seater,Karnataka Travels,0,30,1596.99,4.2,33
R0113,Pune,Lucknow,709,12:30,01:07,817,Thursday,AC Sleeper,TNSTC,6,44,1686.17,4.9,1188
R0114,Goa,Vijayawada,1490,12:00,00:17,737,Friday,Non-AC Seater,Royal Rajasthan,17,48,3083.46,4.0,52
R0115,Kochi,Goa,828,14:00,10:10,1210,Tuesday,Non-AC Seater,GreenLine Travels,29,42,2688.01,3.8,1179
R0116,Kolkata,Bangalore,792,08:30,17:34,544,Wednesday,Non-AC Semi-Sleeper,KSRTC,34,48,1587.52,4.8,1379
R0117,Mysore,Hyderabad,264,03:00,08:18,318,Wednesday,Non-AC Semi-Sleeper,SRS Travels,33,44,719.84,4.4,196
R0118,Surat,Madurai,1276,11:45,13:51,126,Thursday,AC Seater,Orange Tours,27,30,4074.51,4.9,486
R0119,Surat,Rajkot,1066,08:00,19:00,660,Friday,Non-AC Semi-Sleeper,VRL Logistics,3,48,3588.8,4.5,369
R0120,Vijayawada,Bangalore,1004,16:15,09:15,1020,Monday,Non-AC Seater,SRS Travels,24,36,2208.6,3.6,1431
R0121,Bangalore,Kolkata,267,21:45,13:30,1005,Friday,AC Sleeper,VRL Logistics,26,40,720.21,3.7,1171
R0122,Indore,Patna,409,14:15,06:05,1010,Wednesday,AC Sleeper,SRS Travels,21,36,841.68,4.9,1300
R0123,Surat,Bangalore,350,20:45,22:21,156,Wednesday,AC Seater,Karnataka Travels,36,48,1157.18,4.8,1208
R0124,Visakhapatnam,Goa,989,08:15,20:32,737,Thursday,AC Sleeper,TNSTC,23,42,2464.02,3.6,249
R0125,Lucknow,Surat,344,18:45,21:32,227,Friday,Non-AC Sleeper,VRL Logistics,0,30,1201.9,3.6,1258
R0126,Mysore,Rajkot,619,09:00,18:13,553,Friday,Non-AC Seater,National Express,42,42,1294.92,4.3,1936
R0127,Indore,Mysore,113,17:45,11:55,1090,Monday,AC Semi-Sleeper,KSRTC,9,36,360.55,4.3,1385
R0128,Patna,Chandigarh,402,23:45,17:09,1104,Saturday,AC Seater,VRL Logistics,37,40,763.76,5.0,593
R0129,Delhi,Mysore,917,20:30,08:22,772,Monday,Non-AC Seater,VRL Logistics,33,42,3026.43,3.7,886
R0130,Delhi,Nashik,590,23:45,07:10,505,Friday,Non-AC Seater,VRL Logistics,8,30,1439.73,4.6,1024
R0131,Visakhapatnam,Kochi,1024,22:45,15:35,1070,Wednesday,Non-AC Sleeper,GreenLine Travels,18,42,2048.59,3.8,1804
R0132,Nashik,Kolkata,703,11:30,18:46,436,Sunday,AC Sleeper,TNSTC,33,40,1523.13,3.7,880
R0133,Coimbatore,Rajkot,326,16:30,01:12,582,Wednesday,Non-AC Sleeper,Karnataka Travels,1,30,997.4,4.9,1039
R0134,Ahmedabad,Bhopal,1383,22:45,05:13,448,Monday,AC Sleeper,Karnataka Travels,8,30,2583.88,3.9,1077
R0135,Pune,Mysore,457,11:00,02:35,935,Monday,Non-AC Sleeper,National Express,3,36,1247.42,4.2,1547
R0136,Guwahati,Patna,1071,21:45,04:36,471,Saturday,AC Semi-Sleeper,KSRTC,14,44,2966.11,4.1,1707
R0137,Surat,Ahmedabad,568,00:15,03:44,209,Saturday,Non-AC Seater,Deccan Lines,8,40,1091.5,3.7,45
R0138,Chandigarh,Trivandrum,111,07:15,18:06,711,Friday,Non-AC Sleeper,Orange Tours,3,30,345.14,4.5,872
R0139,Madurai,Pune,858,18:15,08:44,869,Monday,Non-AC Seater,TNSTC,29,44,2717.15,3.7,1570
R0140,Bangalore,Lucknow,757,11:00,09:14,1334,Friday,AC Sleeper,TNSTC,22,42,1924.22,4.1,1979
R0141,Hyderabad,Kolkata,1176,06:00,16:56,656,Sunday,AC Sleeper,TNSTC,25,40,3286.01,4.7,666
R0142,Lucknow,Varanasi,387,15:30,19:09,279,Saturday,AC Seater,GreenLine Travels,9,42,1130.77,4.5,1357
R0143,Jaipur,Varanasi,304,04:30,08:53,263,Sunday,AC Semi-Sleeper,Deccan Lines,18,36,830.08,4.9,1820
R0144,Visakhapatnam,Mysore,1122,01:15,09:32,497,Friday,Non-AC Seater,Deccan Lines,7,30,3229.93,4.4,1021
R0145,Coimbatore,Hyderabad,763,21:30,13:52,982,Wednesday,Non-AC Semi-Sleeper,SRS Travels,20,42,1626.18,5.0,1246
R0146,Lucknow,Bhopal,1465,14:00,20:21,381,Tuesday,AC Semi-Sleeper,SRS Travels,29,30,3036.29,4.9,1808
R0147,Bangalore,Chennai,506,08:45,07:53,1388,Friday,AC Seater,Karnataka Travels,29,40,1659.66,4.1,983
R0148,Madurai,Kochi,855,01:30,23:25,1375,Friday,AC Seater,Royal Rajasthan,33,36,2728.57,3.7,416
R0149,Jaipur,Guwahati,184,06:45,01:26,1181,Friday,Non-AC Semi-Sleeper,Deccan Lines,26,40,579.19,4.8,138
R0150,Indore,Bhopal,547,23:30,05:50,380,Sunday,AC Sleeper,KSRTC,3,30,1130.31,4.1,925
R0151,Chennai,Delhi,1174,00:15,18:19,1084,Saturday,Non-AC Seater,KSRTC,18,40,2338.64,3.7,1952
R0152,Delhi,Nashik,902,07:15,10:36,201,Wednesday,Non-AC Sleeper,Deccan Lines,39,48,1630.7,3.6,502
R0153,Visakhapatnam,Mumbai,1245,18:00,00:59,419,Wednesday,Non-AC Seater,KSRTC,29,36,3543.44,3.8,1082
R0154,Guwahati,Bhopal,685,13:30,19:14,404,Sunday,AC Semi-Sleeper,KSRTC,14,40,1446.18,4.5,671
R0155,Bangalore,Coimbatore,923,09:00,14:11,311,Sunday,Non-AC Seater,Orange Tours,40,42,2504.37,3.5,73
R0156,Pune,Ahmedabad,442,14:00,12:42,1362,Tuesday,AC Semi-Sleeper,National Express,7,42,901.41,4.5,689
R0157,Vijayawada,Indore,184,15:15,20:12,357,Monday,AC Sleeper,GreenLine Travels,30,44,493.57,4.2,1498
R0158,Nashik,Surat,1359,08:15,19:50,695,Tuesday,Non-AC Sleeper,KSRTC,15,30,4256.15,5.0,360
R0159,Agra,Guwahati,1394,15:00,02:32,692,Wednesday,Non-AC Semi-Sleeper,National Express,6,40,2765.1,4.3,1787
R0160,Goa,Mysore,1283,04:30,08:44,254,Sunday,AC Semi-Sleeper,Orange Tours,7,44,2591.24,3.8,1501
R0161,Kochi,Shillong,911,01:15,15:22,847,Wednesday,Non-AC Seater,SRS Travels,35,36,1915.75,4.5,1210
R0162,Ahmedabad,Mumbai,583,05:45,07:46,121,Saturday,AC Seater,Karnataka Travels,2,30,1414.74,3.9,1386
R0163,Mumbai,Goa,783,20:00,10:52,892,Wednesday,Non-AC Seater,SRS Travels,13,40,1837.91,4.6,1984
R0164,Guwahati,Surat,1179,18:45,10:13,988,Monday,AC Semi-Sleeper,National Express,9,48,3948.55,4.8,1482
R0165,Surat,Shillong,1194,22:15,07:54,579,Saturday,AC Seater,Orange Tours,13,40,2487.54,4.9,1062
R0166,Surat,Chennai,839,23:00,22:38,1418,Monday,AC Semi-Sleeper,Orange Tours,15,30,2048.28,4.9,816
R0167,Bhopal,Hyderabad,456,20:45,06:19,634,Monday,AC Seater,VRL Logistics,30,48,1395.37,4.5,1164
R0168,Nashik,Ahmedabad,164,01:15,05:50,275,Friday,Non-AC Semi-Sleeper,Karnataka Travels,19,48,444.33,4.9,673
R0169,Trivandrum,Bangalore,1168,01:45,13:15,750,Saturday,AC Sleeper,Royal Rajasthan,20,40,3767.78,4.9,1572
R0170,Mumbai,Bangalore,350,20:15,03:50,455,Thursday,Non-AC Semi-Sleeper,KSRTC,27,30,797.68,4.7,341
R0171,Pune,Nagpur,563,17:15,04:22,667,Wednesday,Non-AC Semi-Sleeper,KSRTC,12,44,1746.86,3.9,1766
R0172,Rajkot,Shillong,1013,06:45,11:58,313,Friday,AC Semi-Sleeper,Royal Rajasthan,25,44,3242.05,3.7,499
R0173,Coimbatore,Goa,974,05:00,03:41,1361,Sunday,Non-AC Sleeper,Royal Rajasthan,9,40,2368.44,4.6,1490
R0174,Indore,Varanasi,118,14:00,23:26,566,Tuesday,AC Semi-Sleeper,VRL Logistics,10,42,292.61,3.7,415
R0175,Mysore,Visakhapatnam,907,03:45,23:18,1233,Sunday,AC Sleeper,Deccan Lines,35,44,2083.85,3.9,1378
R0176,Goa,Chennai,749,03:30,20:04,1054,Tuesday,Non-AC Semi-Sleeper,Karnataka Travels,13,30,1649.94,4.4,552
R0177,Lucknow,Ahmedabad,420,11:00,04:16,1036,Saturday,AC Sleeper,Karnataka Travels,25,42,879.36,4.7,1427
R0178,Mysore,Visakhapatnam,896,15:15,09:18,1083,Sunday,Non-AC Sleeper,Orange Tours,17,40,1810.24,3.8,780
R0179,Indore,Coimbatore,1450,14:30,21:36,426,Friday,Non-AC Sleeper,Deccan Lines,5,36,4035.63,4.2,893
R0180,Bhopal,Pune,582,10:45,04:20,1115,Saturday,AC Semi-Sleeper,TNSTC,3,40,1121.78,3.8,1008
R0181,Trivandrum,Chennai,709,06:15,23:12,1077,Wednesday,Non-AC Seater,GreenLine Travels,13,48,2014.79,4.8,243
R0182,Surat,Patna,1443,03:00,07:16,256,Wednesday,AC Seater,KSRTC,3,36,3394.23,4.4,473
R0183,Nashik,Patna,1187,22:15,10:49,754,Thursday,Non-AC Sleeper,Karnataka Travels,5,44,3180.83,3.6,769
R0184,Surat,Rajkot,754,16:15,11:13,1198,Monday,Non-AC Seater,Deccan Lines,32,44,1474.85,3.9,638
R0185,Bangalore,Pune,976,23:15,01:34,139,Thursday,Non-AC Semi-Sleeper,Orange Tours,9,40,2563.01,4.0,50
R0186,Rajkot,Trivandrum,1426,20:45,04:59,494,Thursday,AC Semi-Sleeper,KSRTC,13,40,3032.07,4.1,92
R0187,Jaipur,Varanasi,1054,21:00,17:27,1227,Wednesday,Non-AC Sleeper,Orange Tours,32,36,2833.5,4.4,1154
R0188,Kolkata,Coimbatore,136,04:15,02:35,1340,Saturday,AC Semi-Sleeper,National Express,17,48,337.56,4.1,1917
R0189,Nagpur,Agra,826,03:45,10:10,445,Thursday,AC Sleeper,Royal Rajasthan,13,48,1717.41,3.8,971
R0190,Vijayawada,Patna,826,17:15,11:30,1095,Tuesday,AC Seater,Orange Tours,1,40,1964.53,4.9,140
R0191,Guwahati,Goa,1009,04:45,21:44,1079,Thursday,AC Semi-Sleeper,VRL Logistics,4,42,2026.8,3.6,1765
R0192,Hyderabad,Bangalore,166,13:15,01:11,776,Friday,Non-AC Semi-Sleeper,Deccan Lines,15,30,531.51,4.2,1653
R0193,Vijayawada,Delhi,163,13:45,21:27,522,Thursday,AC Semi-Sleeper,KSRTC,6,42,560.11,4.7,955
R0194,Pune,Visakhapatnam,894,06:15,00:03,1128,Thursday,Non-AC Seater,National Express,42,48,2881.43,3.8,556
R0195,Nashik,Coimbatore,1142,11:45,22:17,692,Monday,Non-AC Seater,Royal Rajasthan,31,44,2681.38,3.8,1133
R0196,Visakhapatnam,Mysore,1425,04:00,03:50,1430,Friday,AC Sleeper,TNSTC,45,48,3862.56,3.9,1219
R0197,Agra,Nashik,1114,00:45,22:19,1354,Sunday,AC Semi-Sleeper,GreenLine Travels,15,48,2793.38,4.9,467
R0198,Visakhapatnam,Indore,561,07:45,14:22,457,Tuesday,Non-AC Seater,TNSTC,9,44,1125.29,4.8,817
R0199,Nashik,Pune,614,15:30,05:57,867,Thursday,AC Semi-Sleeper,VRL Logistics,29,40,1137.32,3.9,1141
R0200,Ahmedabad,Lucknow,690,22:30,00:09,159,Saturday,Non-AC Seater,TNSTC,6,40,2229.41,4.6,1820
R0201,Goa,Mysore,1078,20:15,19:34,1399,Wednesday,Non-AC Seater,Royal Rajasthan,20,44,2301.74,4.3,1321
R0202,Delhi,Ahmedabad,1314,07:45,06:17,1412,Sunday,Non-AC Semi-Sleeper,SRS Travels,35,40,3757.95,4.6,231
R0203,Patna,Kochi,684,06:45,20:40,895,Friday,Non-AC Sleeper,KSRTC,17,42,2217.36,4.7,482
R0204,Shillong,Hyderabad,691,15:30,03:14,764,Sunday,Non-AC Sleeper,GreenLine Travels,13,30,2299.28,4.3,679
R0205,Trivandrum,Visakhapatnam,745,01:15,06:55,340,Friday,AC Sleeper,National Express,25,30,2143.39,4.5,139
R0206,Lucknow,Kochi,296,13:30,03:40,850,Saturday,Non-AC Seater,VRL Logistics,30,42,1003.18,4.4,262
R0207,Madurai,Guwahati,1447,15:45,12:26,1301,Wednesday,Non-AC Semi-Sleeper,KSRTC,39,42,2650.11,4.3,1725
R0208,Lucknow,Bangalore,1418,09:45,03:29,1124,Monday,AC Semi-Sleeper,VRL Logistics,32,36,2652.74,4.6,1796
R0209,Chennai,Bhopal,1190,01:30,11:33,603,Thursday,Non-AC Semi-Sleeper,Royal Rajasthan,33,42,4121.52,3.6,137
